threshold_dbfs,file,sample_rate,channels,audio_duration_sec,event_index,event_start_sec,event_end_sec,event_duration_sec,active_start_sec,active_end_sec,rms_max_dbfs,rms_mean_dbfs
-35.0,Anura/Anura__IAvH-CSA-20100__2018-09-15__b808728e3d.wav,44100,1,365.306,1,0.0,60.0,60.0,0.0,60.0,-15.96,-25.5
-35.0,Anura/Anura__IAvH-CSA-20100__2018-09-15__b808728e3d.wav,44100,1,365.306,2,60.0,120.0,60.0,60.0,120.0,-15.96,-25.5
-35.0,Anura/Anura__IAvH-CSA-20100__2018-09-15__b808728e3d.wav,44100,1,365.306,3,120.0,180.0,60.0,120.0,180.0,-15.96,-25.5
-35.0,Anura/Anura__IAvH-CSA-20100__2018-09-15__b808728e3d.wav,44100,1,365.306,4,180.0,240.0,60.0,180.0,240.0,-15.96,-25.5
-35.0,Anura/Anura__IAvH-CSA-20100__2018-09-15__b808728e3d.wav,44100,1,365.306,5,240.0,300.0,60.0,240.0,300.0,-15.96,-25.5
-35.0,Anura/Anura__IAvH-CSA-20100__2018-09-15__b808728e3d.wav,44100,1,365.306,6,300.0,360.0,60.0,300.0,360.0,-15.96,-25.5
-35.0,Anura/Anura__IAvH-CSA-20100__2018-09-15__b808728e3d.wav,44100,1,365.306,7,360.0,365.306,5.306,360.0,364.467,-15.96,-25.5
-35.0,Anura/Anura__IAvH-CSA-20101__2018-09-18__7fc682eee7.wav,44100,1,43.298,1,0.0,43.298,43.298,0.0,42.496,-10.97,-23.87
-35.0,Anura/Anura__IAvH-CSA-20102__2018-09-18__def61d4a5a.wav,44100,1,84.674,1,0.0,60.0,60.0,0.0,60.0,-10.15,-24.11
-35.0,Anura/Anura__IAvH-CSA-20102__2018-09-18__def61d4a5a.wav,44100,1,84.674,2,60.0,84.674,24.674,60.0,83.867,-10.15,-24.11
-35.0,Anura/Anura__IAvH-CSA-20104__2018-09-18__0b2eb88bca.wav,44100,1,79.374,1,0.0,60.0,60.0,0.0,60.0,-20.06,-32.77
-35.0,Anura/Anura__IAvH-CSA-20104__2018-09-18__0b2eb88bca.wav,44100,1,79.374,2,60.0,79.374,19.374,60.0,78.243,-20.06,-32.77
-35.0,Anura/Anura__IAvH-CSA-20105__2018-09-18__fbf90a04d9.wav,44100,1,52.466,1,0.0,35.997,35.997,0.0,30.997,-20.68,-32.76
-35.0,Anura/Anura__IAvH-CSA-20105__2018-09-18__fbf90a04d9.wav,44100,1,52.466,2,36.996,52.466,15.47,39.996,49.496,-29.0,-31.27
-35.0,Anura/Anura__IAvH-CSA-20106__2018-09-18__191869cfc0.wav,44100,1,46.063,1,0.0,46.063,46.063,0.0,45.246,-12.11,-25.35
-35.0,Anura/Anura__IAvH-CSA-20107__2018-09-18__454766a3a4.wav,44100,1,46.436,1,0.0,42.872,42.872,0.0,37.872,-19.49,-28.27
-35.0,Anura/Anura__IAvH-CSA-20302__2022-07-28__f543d5605f.wav,48000,1,135.915,1,0.0,60.0,60.0,0.875,60.0,-17.33,-24.19
-35.0,Anura/Anura__IAvH-CSA-20302__2022-07-28__f543d5605f.wav,48000,1,135.915,2,60.0,120.0,60.0,60.0,120.0,-17.33,-24.19
-35.0,Anura/Anura__IAvH-CSA-20302__2022-07-28__f543d5605f.wav,48000,1,135.915,3,120.0,135.915,15.915,120.0,135.875,-17.33,-24.19
-35.0,Anura/Anura__IAvH-CSA-34377__2017-03-07__2ff3753b5b.wav,44100,1,85.686,1,0.0,60.0,60.0,1.625,60.0,-11.86,-24.33
-35.0,Anura/Anura__IAvH-CSA-34377__2017-03-07__2ff3753b5b.wav,44100,1,85.686,2,60.0,85.686,25.686,60.0,85.617,-11.86,-24.33
-35.0,Anura/Anura__IAvH-CSA-34379__2017-03-08__939acb1050.wav,44100,1,61.006,1,0.0,60.0,60.0,0.875,60.0,-11.83,-24.65
-35.0,Anura/Anura__IAvH-CSA-34379__2017-03-08__939acb1050.wav,44100,1,61.006,2,60.0,61.006,1.006,60.0,60.994,-11.83,-24.65
-35.0,Atelopus_ardila/Atelopus_ardila__IAvH-CSA-15997____c09b25bc39.wav,44100,1,101.132,1,0.0,16.999,16.999,2.5,11.999,-26.04,-30.79
-35.0,Atelopus_ardila/Atelopus_ardila__IAvH-CSA-15997____c09b25bc39.wav,44100,1,101.132,2,19.623,79.623,60.0,22.623,79.623,-16.18,-26.93
-35.0,Atelopus_ardila/Atelopus_ardila__IAvH-CSA-15997____c09b25bc39.wav,44100,1,101.132,3,79.623,101.132,21.509,79.623,98.866,-16.18,-26.93
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34148__2018-06-30__6da0e1e593.wav,44100,1,49.393,1,0.0,49.393,49.393,1.0,48.371,-15.58,-27.71
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34149__2018-06-30__8e2e8bc752.wav,44100,1,61.795,1,0.0,60.0,60.0,1.0,56.995,-7.45,-26.66
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34149__2018-06-30__8e2e8bc752.wav,44100,1,61.795,2,60.0,61.795,1.795,60.0,56.995,-7.45,-26.66
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34150__2018-06-30__5a2573e0d3.wav,44100,1,58.922,1,0.0,58.922,58.922,1.0,57.995,-11.84,-25.49
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34151__2018-06-30__68180d499b.wav,44100,1,53.641,1,0.0,53.641,53.641,1.0,52.62,-5.97,-20.04
-35.0,Atelopus_laetissimus/Atelopus_laetissimus__IAvH-CSA-34152__2018-06-30__6c370aca43.wav,44100,1,54.173,1,0.0,54.173,54.173,1.0,52.995,-8.09,-22.21
